����,����е��ץȡ˳���,����˳���,����˳���,��������,ץȡ����
17,3,7,119,黄山(硬大红方印),1
17,4,7,120,黄鹤楼(硬峡谷柔情),1
17,5,7,121,茶花(硬94mm),1
17,6,7,121,茶花(硬94mm),1
17,7,7,122,中华(硬双中支),1
17,8,7,123,利群(硬楼外楼中支),1
17,9,7,124,建牌(硬HD1细支),1
18,1,7,125,芙蓉王(硬领航),1
18,2,7,126,黄金叶(软乐途),1
18,2,7,127,利群(软夜西湖),1
18,3,7,128,芙蓉王(硬75mm),1
18,4,7,129,双喜(硬城市之光),1
18,5,7,130,芙蓉王(硬中支),1
19,1,8,131,云烟(硬细支云龙),1
19,1,8,132,芙蓉王(硬细支),1
19,2,8,133,金圣(硬滕王阁紫光),1
19,2,8,134,黄鹤楼(硬天下名楼),1
19,3,8,135,黄山(硬大红方印),1
19,4,8,136,黄山(软记忆),1
19,4,8,137,黄金叶(软乐途),1
20,1,9,138,双喜(硬细支金樽),1
20,2,9,139,555(硬冰炫),1
20,2,9,140,云烟(硬细支云龙),1
20,3,9,141,芙蓉王(硬细支),1
20,3,9,142,七匹狼(硬锋芒),1
20,4,9,143,南京(硬炫赫门),1
20,4,9,143,南京(硬炫赫门),1
20,5,9,144,双喜(硬祥和好日子),1
20,5,9,144,双喜(硬祥和好日子),1
20,6,9,145,芙蓉王(硬闪带细支),1
20,6,9,145,芙蓉王(硬闪带细支),1
20,7,9,146,金圣(硬滕王阁紫光),1
20,8,9,147,娇子(硬宽窄好运细支),1
20,9,9,148,黄鹤楼(硬天下名楼),1
21,1,9,148,黄鹤楼(硬天下名楼),1
21,2,9,149,云烟(硬小熊猫16支),1
21,3,9,150,黄山(硬大红方印),1
21,4,9,151,黄鹤楼(硬峡谷柔情),1
21,5,9,152,利群(硬楼外楼中支),1
21,6,9,153,黄山(软记忆),1
21,7,9,154,建牌(硬HD1细支),1
22,1,9,155,七匹狼(硬古田金中支),1
22,2,9,156,芙蓉王(硬领航),1
22,3,9,157,黄金叶(软乐途),1
22,3,9,158,利群(软夜西湖),1
22,4,9,159,芙蓉王(硬75mm),1
22,5,9,160,双喜(硬城市之光),1
23,1,9,161,芙蓉王(硬中支),1
23,1,9,161,芙蓉王(硬中支),1
24,1,10,162,双喜(硬细支金樽),1
24,2,10,163,555(硬冰炫),1
24,2,10,164,云烟(硬细支云龙),1
24,3,10,165,芙蓉王(硬细支),1
24,3,10,166,七匹狼(硬锋芒),1
24,4,10,167,南京(硬炫赫门),1
24,4,10,167,南京(硬炫赫门),1
24,5,10,168,双喜(硬祥和好日子),1
24,5,10,168,双喜(硬祥和好日子),1
24,6,10,169,芙蓉王(硬闪带细支),1
24,6,10,169,芙蓉王(硬闪带细支),1
24,7,10,170,金圣(硬滕王阁紫光),1
24,8,10,171,娇子(硬宽窄好运细支),1
24,9,10,172,黄鹤楼(硬天下名楼),1
25,1,10,172,黄鹤楼(硬天下名楼),1
25,2,10,173,云烟(硬小熊猫16支),1
25,3,10,174,黄山(硬大红方印),1
25,4,10,175,黄鹤楼(硬峡谷柔情),1
25,5,10,176,利群(硬楼外楼中支),1
25,6,10,177,黄山(软记忆),1
25,7,10,178,建牌(硬HD1细支),1
26,1,10,179,七匹狼(硬古田金中支),1
26,2,10,180,芙蓉王(硬领航),1
26,3,10,181,黄金叶(软乐途),1
26,3,10,182,利群(软夜西湖),1
26,4,10,183,芙蓉王(硬75mm),1
26,5,10,184,双喜(硬城市之光),1
27,1,10,185,芙蓉王(硬中支),1
27,1,10,185,芙蓉王(硬中支),1
28,1,11,186,双喜(硬细支金樽),1
28,2,11,187,黄金叶(硬天香细支),1
28,3,11,188,中华(硬细支),1
28,4,11,189,云烟(硬细支云龙),1
28,5,11,190,芙蓉王(硬细支),1
28,6,11,191,南京(硬炫赫门),1
28,7,11,191,南京(硬炫赫门),1
28,8,11,192,双喜(硬祥和好日子),1
28,9,11,192,双喜(硬祥和好日子),1
28,10,11,192,双喜(硬祥和好日子),1
28,11,11,193,芙蓉王(硬闪带细支),1
28,12,11,194,金圣(硬滕王阁紫光),1
29,1,11,195,娇子(硬宽窄好运细支),1
29,1,11,196,黄鹤楼(硬天下名楼),1
29,2,11,196,黄鹤楼(硬天下名楼),1
29,3,11,197,云烟(硬小熊猫16支),1
29,4,11,198,黄山(硬大红方印),1
29,5,11,199,黄鹤楼(硬峡谷柔情),1
29,6,11,200,茶花(硬94mm),1
29,7,11,200,茶花(硬94mm),1
29,8,11,201,中华(硬双中支),1
29,9,11,202,利群(硬楼外楼中支),1
30,1,11,203,黄山(软记忆),1
30,2,11,204,建牌(硬HD1细支),1
30,3,11,205,黄金叶(软乐途),1
30,3,11,206,利群(软夜西湖),1
30,4,11,207,双喜(硬城市之光),1
30,5,11,208,芙蓉王(硬中支),1
31,1,12,209,云烟(硬细支云龙),1
31,2,12,210,双喜(硬细支金樽),1
31,3,12,211,黄金叶(硬天香细支),1
31,4,12,212,中华(硬细支),1
31,5,12,213,555(硬冰炫),1
31,6,12,214,云烟(硬细支云龙),1
31,7,12,215,芙蓉王(硬细支),1
31,8,12,216,七匹狼(硬锋芒),1
31,9,12,217,南京(硬炫赫门),1
31,10,12,217,南京(硬炫赫门),1
31,11,12,218,双喜(硬祥和好日子),1
32,1,12,218,双喜(硬祥和好日子),1
32,1,12,218,双喜(硬祥和好日子),1
32,2,12,218,双喜(硬祥和好日子),1
32,3,12,219,芙蓉王(硬闪带细支),1
32,3,12,219,芙蓉王(硬闪带细支),1
32,4,12,220,金圣(硬滕王阁紫光),1
32,4,12,221,娇子(硬宽窄好运细支),1
32,5,12,222,黄鹤楼(硬天下名楼),1
32,6,12,223,云烟(硬小熊猫16支),1
32,7,12,224,黄山(硬大红方印),1
32,8,12,225,黄鹤楼(硬峡谷柔情),1
32,9,12,226,白沙(硬和天下),1
32,10,12,227,茶花(硬94mm),1
32,11,12,227,茶花(硬94mm),1
32,12,12,228,中华(硬双中支),1
33,1,12,229,利群(硬楼外楼中支),1
33,2,12,230,黄山(软记忆),1
33,3,12,231,建牌(硬HD1细支),1
33,4,12,232,七匹狼(硬古田金中支),1
33,5,12,233,芙蓉王(硬领航),1
33,6,12,234,黄金叶(软乐途),1
33,7,12,235,芙蓉王(硬75mm),1
34,1,12,236,双喜(硬城市之光),1
34,1,12,237,芙蓉王(硬中支),1
34,2,12,237,芙蓉王(硬中支),1
35,1,13,238,双喜(硬细支金樽),1
35,2,13,239,黄金叶(硬天香细支),1
35,3,13,240,中华(硬细支),1
35,4,13,240,中华(硬细支),1
35,5,13,241,555(硬冰炫),1
35,6,13,242,云烟(硬细支云龙),1
35,7,13,243,芙蓉王(硬细支),1
35,8,13,244,七匹狼(硬锋芒),1
35,9,13,245,南京(硬炫赫门),1
35,10,13,245,南京(硬炫赫门),1
35,11,13,246,双喜(硬祥和好日子),1
35,12,13,247,芙蓉王(硬闪带细支),1
35,13,13,247,芙蓉王(硬闪带细支),1
35,14,13,248,金圣(硬滕王阁紫光),1
35,15,13,249,娇子(硬宽窄好运细支),1
35,16,13,250,黄鹤楼(硬天下名楼),1
36,1,13,250,黄鹤楼(硬天下名楼),1
36,2,13,251,云烟(硬小熊猫16支),1
36,3,13,252,黄山(硬大红方印),1
36,4,13,253,黄鹤楼(硬峡谷柔情),1
36,5,13,254,白沙(硬和天下),1
36,6,13,255,黄金叶(硬天叶),1
37,1,13,256,茶花(硬94mm),1
37,1,13,256,茶花(硬94mm),1
37,2,13,257,南京(硬九五),1
37,3,13,258,中华(硬双中支),1
37,4,13,258,中华(硬双中支),1
37,5,13,259,贵烟(硬红中支),1
37,6,13,260,黄鹤楼(硬感恩中支),1
37,7,13,261,利群(硬楼外楼中支),1
37,8,13,262,黄山(软记忆),1
38,1,13,263,双喜(硬盛世好日子)新,1
38,2,13,264,建牌(硬HD1细支),1
38,3,13,265,七匹狼(硬古田金中支),1
38,4,13,266,中华(硬全开式)新,1
38,5,13,267,芙蓉王(硬领航),1
38,6,13,268,娇子(硬宽窄逍遥细支),1
38,7,13,269,黄金叶(软乐途),1
38,8,13,270,利群(软夜西湖),1
39,1,13,271,芙蓉王(硬75mm),1
39,2,13,272,双喜(硬城市之光),1
39,2,13,273,芙蓉王(硬中支),1
39,3,13,273,芙蓉王(硬中支),1
40,1,14,274,双喜(硬细支金樽),1
40,2,14,275,555(硬冰炫),1
40,2,14,276,云烟(硬细支云龙),1
40,3,14,277,芙蓉王(硬细支),1
40,3,14,278,七匹狼(硬锋芒),1
40,4,14,279,双喜(硬祥和好日子),1
40,4,14,280,金圣(硬滕王阁紫光),1
40,5,14,281,娇子(硬宽窄好运细支),1
40,5,14,282,黄鹤楼(硬天下名楼),1
40,6,14,283,黄山(硬大红方印),1
41,1,14,284,利群(硬楼外楼中支),1
41,2,14,285,黄山(软记忆),1
41,3,14,286,建牌(硬HD1细支),1
41,4,14,287,七匹狼(硬古田金中支),1
41,5,14,288,黄金叶(软乐途),1
41,6,14,289,芙蓉王(硬75mm),1
42,1,15,290,双喜(硬细支金樽),1
42,2,15,291,555(硬冰炫),1
42,2,15,292,云烟(硬细支云龙),1
42,3,15,293,芙蓉王(硬细支),1
42,3,15,294,七匹狼(硬锋芒),1
42,4,15,295,双喜(硬祥和好日子),1
42,4,15,296,金圣(硬滕王阁紫光),1
42,5,15,297,娇子(硬宽窄好运细支),1
42,5,15,298,黄鹤楼(硬天下名楼),1
42,6,15,299,黄山(硬大红方印),1
43,1,15,300,利群(硬楼外楼中支),1
43,2,15,301,黄山(软记忆),1
43,3,15,302,建牌(硬HD1细支),1
43,4,15,303,七匹狼(硬古田金中支),1
43,5,15,304,黄金叶(软乐途),1
43,6,15,305,芙蓉王(硬75mm),1
44,1,16,306,双喜(硬细支金樽),1
44,2,16,307,黄金叶(硬天香细支),1
44,3,16,308,中华(硬细支),1
44,4,16,308,中华(硬细支),1
44,5,16,309,555(硬冰炫),1
44,6,16,310,云烟(硬细支云龙),1
44,7,16,311,芙蓉王(硬细支),1
44,8,16,312,七匹狼(硬锋芒),1
44,9,16,313,南京(硬炫赫门),1
44,10,16,313,南京(硬炫赫门),1
44,11,16,314,双喜(硬祥和好日子),1
44,12,16,315,芙蓉王(硬闪带细支),1
44,13,16,315,芙蓉王(硬闪带细支),1
44,14,16,316,金圣(硬滕王阁紫光),1
44,15,16,317,娇子(硬宽窄好运细支),1
44,16,16,318,黄鹤楼(硬天下名楼),1
45,1,16,318,黄鹤楼(硬天下名楼),1
45,2,16,319,云烟(硬小熊猫16支),1
45,3,16,320,黄山(硬大红方印),1
45,4,16,321,黄鹤楼(硬峡谷柔情),1
45,5,16,322,白沙(硬和天下),1
45,6,16,323,黄金叶(硬天叶),1
46,1,16,324,茶花(硬94mm),1
46,1,16,324,茶花(硬94mm),1
46,2,16,325,南京(硬九五),1
46,3,16,326,中华(硬双中支),1
46,4,16,326,中华(硬双中支),1
46,5,16,327,贵烟(硬红中支),1
46,6,16,328,黄鹤楼(硬感恩中支),1
46,7,16,329,利群(硬楼外楼中支),1
46,8,16,330,黄山(软记忆),1
47,1,16,331,双喜(硬盛世好日子)新,1
47,2,16,332,建牌(硬HD1细支),1
47,3,16,333,七匹狼(硬古田金中支),1
47,4,16,334,中华(硬全开式)新,1
47,5,16,335,芙蓉王(硬领航),1
47,6,16,336,娇子(硬宽窄逍遥细支),1
47,7,16,337,黄金叶(软乐途),1
47,8,16,338,利群(软夜西湖),1
48,1,16,339,芙蓉王(硬75mm),1
48,2,16,340,双喜(硬城市之光),1
48,2,16,341,芙蓉王(硬中支),1
48,3,16,341,芙蓉王(硬中支),1
